headline,category,short_description,date
Virginia Thomas Agrees To Interview With Jan. 6 Panel,U.S. NEWS,"Conservative activist Virginia Thomas, the wife of Supreme Court Justice Clarence Thomas, has agreed to participate in a voluntary interview with the House panel investigating the Jan. 6 insurrection.",2022-09-21
Russian Cosmonaut Valery Polyakov Who Broke Record With 437-Day Stay In Space Dies At 80,WORLD NEWS,"Polyakov's record-breaking trip to outer space saw him orbit Earth 7,075 times and travel nearly 187 million miles.",2022-09-20
'Reboot' Is A Clever And Not Too Navel-Gazey Look Inside TV Reboots,CULTURE & ARTS,"Starring Keegan-Michael Key, Judy Greer and Johnny Knoxville, the Hulu show follows the revival of a fictional early 2000s sitcom.",2022-09-20
"Maury Wills, Base-Stealing Shortstop For Dodgers, Dies At 89",SPORTS,"Maury Wills, who helped the Los Angeles Dodgers win three World Series titles with his base-stealing prowess, has died.",2022-09-20
4 Russian-Controlled Ukrainian Regions Schedule Votes This Week To Join Russia,WORLD NEWS,The concerted and quickening Kremlin-backed efforts to swallow up four regions could set the stage for Moscow to escalate the war.,2022-09-20
Fiona Barrels Toward Turks And Caicos Islands As Category 3 Hurricane,WORLD NEWS,The Turks and Caicos Islands government imposed a curfew as the intensifying storm kept dropping copious rain over the Dominican Republic and Puerto Rico.,2022-09-20
Golden Globes Returning To NBC In January After Year Off-Air,ENTERTAINMENT,"For the past 18 months, Hollywood has effectively boycotted the Globes after reports that the HFPA’s 87 members of non-American journalists included no Black members.",2022-09-20
Biden Says U.S. Forces Would Defend Taiwan If China Invaded,POLITICS,President issues vow as tensions with China rise.,2022-09-19
Hurricane Fiona Bears Down On Dominican Republic After Pounding Puerto Rico,WORLD NEWS,"The storm knocked out the power grid and unleashed floods and landslides in Puerto Rico, where the governor said the damage was “catastrophic.”",2022-09-19
One Dead After Plane Crashes At Reno Air Race,U.S. NEWS,"The single-engine plane was participating in the National Championship Air Races on Sunday when it crashed into a field, killing the pilot, officials said.",2022-09-19
‘Beautiful And Sad At The Same Time’: Ukrainian Cultural Festival Takes On A Deeper Meaning This Year,POLITICS,An annual celebration took on a different feel as Russia's invasion dragged into Day 206.,2022-09-19
Family Of American Held In Afghanistan Says He Was Freed By Taliban In Prisoner Swap,U.S. NEWS,"Mark Frerichs, a Navy veteran and civilian contractor, was kidnapped in Afghanistan in January 2020.",2022-09-19
"Las Vegas Aces Win First WNBA Title, Chelsea Gray Named MVP",SPORTS,Las Vegas never had a professional sports champion — until Sunday.,2022-09-19
World Leaders Pay Respects To Queen Elizabeth II,WORLD NEWS,President Joe Biden and first lady Jill Biden were among thousands of mourners — from locals and tourists to royals and world leaders — to pay their respects.,2022-09-18
James Cameron Says He 'Clashed' With Studio Before 'Avatar' Release,ENTERTAINMENT,"The ""Avatar"" director said aspects of his 2009 movie are ""still competitive with everything that’s out there these days.""",2022-09-18
'French Spider-Man' Celebrates 60th Birthday With A Massive Skyscraper Climb,WEIRD NEWS,"Alain Robert, known as the ""French Spider-Man,"" has climbed the Burj Khalifa and the Empire State Building.",2022-09-18
Biden Says Queen's Death Left 'Giant Hole' For Royal Family,POLITICS,"U.S. President Joe Biden, in London for the funeral of Queen Elizabeth II, says his heart went out to the royal family, adding the queen’s death left a “giant hole.”.",2022-09-18
Watchdog Report Finds Some Census Takers Who Fudged 2020 Data Didn’t Get Fired,U.S. NEWS,"Despite entering false information, their work wasn't redone fully and in some cases the census takers received bonuses, the Office of Inspector General reported.",2022-09-18
First Public Global Database Of Fossil Fuels Launches,ENVIRONMENT,"On Monday, the world’s first public database of fossil fuel production, reserves and emissions launches.",2022-09-18
Man Charged With Exposing Himself To Mourners Waiting To View Queen Elizabeth,WORLD NEWS,The 19-year-old reportedly fled into the Thames in a failed bid to escape police.,2022-09-17
Alaska Prepares For 'Historic-Level' Storm Barreling Towards Coast,ENVIRONMENT,"“In 10 years, people will be referring to the September 2022 storm as a benchmark storm.”",2022-09-17
Puerto Rico Braces For Landslides And Severe Flooding As Tropical Storm Fiona Approaches,ENVIRONMENT,Puerto Rico was under a hurricane watch Saturday as the storm barreled towards the U.S. territory.,2022-09-17
WHO Raises Alarm On Disease In Flood-hit Areas Of Pakistan,WORLD NEWS,"The World Health Organization is raising the alarm about a “second disaster” in the wake of the deadly floods in Pakistan this summer, as doctors and medical workers on the ground race to battle outbreaks of waterborne and other diseases.",2022-09-17
Privatization Isn’t The Answer To Jackson’s Water Crisis,ENVIRONMENT,Studies have repeatedly shown that ending public administration of water supplies doesn’t work — but that’s now on the table in Mississippi.,2022-09-17
German Customs Officials Follow Trail Of Slime And Find Bags Of Giant Snails,WEIRD NEWS,"“Never in the history of the Duesseldorf customs office has a trail of slime led us to smuggled goods,” spokesman Michael Walk told the media.",2022-09-16
Amazon Greenlights 'Blade Runner 2099' Limited Series Produced By Ridley Scott,ENTERTAINMENT,The director of the original 1982 film joins a writer of the 2017 sequel for the newest installment in the sci-fi franchise.,2022-09-16
Bill To Help Afghans Who Escaped Taliban Faces Long Odds In The Senate,POLITICS,Republican outrage over the shoddy U.S. withdrawal from Afghanistan hasn’t spurred support for resettling refugees.,2022-09-16
Alabama Sidesteps Compensation For Survivor Of '63 KKK Blast,U.S. NEWS,Sarah Collins Rudolph lost an eye and has pieces of glass inside her body from a Ku Klux Klan bombing that killed her sister and three other Black girls inside an Alabama church 59 years ago.,2022-09-16
Racism Seen As Root Of Water Crisis In Mississippi Capital,U.S. NEWS,"A boil-water advisory has been lifted for Mississippi's capital, and the state will stop handing out free bottled water on Saturday.",2022-09-16
'The Phantom Of The Opera' To Close On Broadway Next Year,ENTERTAINMENT,"“The Phantom of the Opera” — Broadway’s longest-running show — is scheduled to close in February 2023, a victim of post-pandemic softening in theater attendance in New York.",2022-09-16
Mark Meadows Complies With Justice Dept. Subpoena: Report,POLITICS,"The former White House chief of staff has turned over records as part of a federal investigation into the Jan. 6, 2021 assault on the Capitol.",2022-09-15
"Meet Alex Aster, The TikToker Changing The Publishing Industry For The Better",CULTURE & ARTS,"The Colombian-American author's new book ""Lightlark"" was rejected numerous times — until she went directly to her readers for support.",2022-09-15
Chick-Fil-A Worker Saves Woman With Baby From Being Carjacked,U.S. NEWS,"Mykel Gordon rushed to the woman's aid and held down her assailant until police arrived. Remarkably, this wasn't the first time Gordon may have saved a life.",2022-09-15
Viola Davis Feared A Heart Attack During 'The Woman King' Training,ENTERTAINMENT,The Oscar winner said she worked out for five hours a day for her role in the new action movie.,2022-09-15
Kim Kardashian's Next Boyfriend Could Be A Biochemist,ENTERTAINMENT,"The reality star told James Corden she's branching out because ""clearly it's not working, whatever I’m doing.""",2022-09-15
Podcasters Offer $100K Reward For Information On 2Pac’s Killers,ENTERTAINMENT,The Las Vegas podcasters are hoping to find out who shot the rap icon 26 years ago.,2022-09-15
"Cardi B Donates $100,000 To Her Old Middle School In The Bronx",ENTERTAINMENT,The Grammy-winning rapper surprised star-struck children at the Alexander Macomb School in Morris Heights to make the announcement.,2022-09-14
"Bill Richardson Visits Moscow As Brittney Griner, Paul Whelan Remain Jailed",WORLD NEWS,"Richardson, the former U.S. ambassador to the United Nations and a frequent emissary in hostage negotiations, held meetings with Russian leaders.",2022-09-14
Emmy Awards Viewership Dips To A Record-Low As Its Audience Continues To Drop,ENTERTAINMENT,The television awards ceremony lost roughly 1.5 million viewers compared to its 2021 program.,2022-09-14
"Possible Nationwide Rail Strike Is Already Impacting Travelers, Businesses",U.S. NEWS,"White House press secretary Karine Jean-Pierre said a rail shutdown is ""not acceptable"" and would harm families as well as businesses.",2022-09-14
Democrats Nominate Seth Magaziner In Key Rhode Island House Race,POLITICS,The state's general treasurer is slated to face former Cranston Mayor Allan Fung (R) in the general election.,2022-09-14
TikTok Search Results Riddled With Misinformation: Report,TECH,A U.S. firm that monitors false online claims reports that searches for information about prominent news topics on TikTok are likely to turn up results riddled with misinformation.,2022-09-14
U.S. Inflation Falls For 2nd Straight Month On Lower Gas Costs,U.S. NEWS,"On a monthly basis, prices rose 0.1%, after a flat reading in July.",2022-09-13
"Jean-Luc Godard, Pioneering French Filmmaker, Dies",ENTERTAINMENT,"The director was best known for the groundbreaking movie ""Breathless.""",2022-09-13
Thousands Of Minnesota Nurses Launch 3-day Strike Over Pay,U.S. NEWS,They're pressing for salary increases they say will help improve patient care by resolving understaffing stresses that have worsened in the pandemic.,2022-09-13
Joe Biden Urges National Unity In Speech On Renewed ‘Cancer Moonshot’,POLITICS,"""Cancer does not discriminate red and blue,"" the president said Monday. ""Beating cancer is something we can do together.""",2022-09-13
